epoch,train_loss,train_acc,test_loss,test_acc
1,1.938943104248047,0.3222,1.6764691076278686,0.3831
2,1.3770723039627075,0.4989,1.5096433099746704,0.4624
3,1.1830144507217408,0.5697,1.3145068738937378,0.536
4,1.0676724423980712,0.61608,1.242702555656433,0.5555
5,0.9975581858825684,0.64236,1.009627381324768,0.6422
6,0.959165495185852,0.6578,1.0217060539245606,0.6337
7,0.9172828973388671,0.674,0.9996772993087768,0.6463
8,0.8861004475021362,0.68544,0.9761096290588379,0.6574
9,0.8582328893280029,0.69468,0.970720303440094,0.6579
10,0.8474875042724609,0.69648,0.9794327307701111,0.6616
11,0.8333262457275391,0.70292,0.9351054409980774,0.673
12,0.8283187946510315,0.70426,0.9941695573806762,0.6599
13,0.8124939802932739,0.71246,1.026056746864319,0.6476
14,0.7884489977455139,0.71766,0.9272812265396119,0.6853
15,0.7796366185188294,0.72418,0.963509355354309,0.67
16,0.784209585723877,0.72064,0.9734911440849304,0.6699
17,0.7725089713859558,0.72668,0.9618692875862122,0.6673
18,0.7677708757019043,0.72648,0.883385303401947,0.6929
19,0.753732572441101,0.73094,0.9822748957633972,0.6693
20,0.7393697636032105,0.737,0.8880157104492188,0.696
21,0.7409382422065734,0.7359,0.9374490863800049,0.6745
22,0.7457430906867981,0.7341,0.8548839447021485,0.7011
23,0.7272191272544861,0.74126,0.9683060386657715,0.6659
24,0.7333671589660644,0.73792,1.0132750144958496,0.6641
25,0.7314561832427978,0.73924,0.9269658571243287,0.6772
26,0.7209009078216553,0.74168,0.8602399415016174,0.6955
27,0.7100561450576782,0.74744,0.8805431049346923,0.6953
28,0.7180997086524963,0.74696,0.8449798578262329,0.7055
29,0.7041547617530822,0.75074,0.8854715452194214,0.7008
30,0.7039718782234192,0.74996,0.8605083743095397,0.6988
31,0.6959189321327209,0.75146,0.8784732149124146,0.6975
32,0.700896709690094,0.7498,0.9131066411018371,0.6944
33,0.6840980116271973,0.7555,0.7928510630607605,0.72
34,0.6872604023551941,0.75502,0.8887363376617432,0.7004
35,0.6796176824188233,0.75764,0.884090311050415,0.7017
36,0.6814376100158691,0.75766,0.8336951170921326,0.717
37,0.6675711524009704,0.76148,0.8497708345413209,0.7097
38,0.6726132369041443,0.76,0.8662210684776306,0.7057
39,0.6700015070915222,0.76044,0.8313125654220581,0.715
40,0.6650953895950318,0.76404,0.8440950097084046,0.7163
41,0.6619564845657349,0.7661,0.883475377368927,0.7038
42,0.7094620573997498,0.75378,1.3487578308105468,0.5934
43,0.7153749561309815,0.7487,0.7855030965805053,0.7323
44,0.6503451099777222,0.76872,0.8018647033691406,0.7229
45,0.6509181392097473,0.76816,0.7907308204650879,0.7255
46,0.6450457652282715,0.77194,0.7874810735702514,0.727
47,0.6460220280456543,0.76944,0.8863372203826905,0.7055
48,0.6403493126296997,0.77156,0.8861908840179443,0.7055
49,0.6473535465621948,0.76862,0.9054692436218261,0.6926
50,0.6396845200920105,0.77012,1.0085230060577393,0.6819
